code,age,trials,trials__correct,trials__keypresses__timestamp
JOcWXeQW5IkozNWZ,25,417,True,2020-11-11T15:44:03.956000+00:00
JOcWXeQW5IkozNWZ,25,417,True,2020-11-11T15:44:04.111000+00:00
JOcWXeQW5IkozNWZ,25,417,True,2020-11-11T15:44:04.291000+00:00
JOcWXeQW5IkozNWZ,25,417,True,2020-11-11T15:44:04.565000+00:00
JOcWXeQW5IkozNWZ,25,417,True,2020-11-11T15:44:04.688000+00:00
u7j0h1gjs0hiS4RZ,25,418,True,2020-11-11T15:45:42.931000+00:00
u7j0h1gjs0hiS4RZ,25,418,True,2020-11-11T15:45:43.569000+00:00
u7j0h1gjs0hiS4RZ,25,418,True,2020-11-11T15:45:43.994000+00:00
u7j0h1gjs0hiS4RZ,25,418,True,2020-11-11T15:45:44.668000+00:00
u7j0h1gjs0hiS4RZ,25,418,True,2020-11-11T15:45:45.192000+00:00
u7j0h1gjs0hiS4RZ,25,419,True,2020-11-11T15:45:50.840000+00:00
u7j0h1gjs0hiS4RZ,25,419,True,2020-11-11T15:45:51.648000+00:00
u7j0h1gjs0hiS4RZ,25,419,True,2020-11-11T15:45:52.299000+00:00
u7j0h1gjs0hiS4RZ,25,419,True,2020-11-11T15:45:52.756000+00:00
u7j0h1gjs0hiS4RZ,25,419,True,2020-11-11T15:45:53.114000+00:00
u7j0h1gjs0hiS4RZ,25,420,True,2020-11-11T15:45:58.762000+00:00
u7j0h1gjs0hiS4RZ,25,420,True,2020-11-11T15:45:59.344000+00:00
u7j0h1gjs0hiS4RZ,25,420,True,2020-11-11T15:45:59.684000+00:00
u7j0h1gjs0hiS4RZ,25,420,True,2020-11-11T15:46:00.470000+00:00
u7j0h1gjs0hiS4RZ,25,420,True,2020-11-11T15:46:01.040000+00:00
u7j0h1gjs0hiS4RZ,25,421,True,2020-11-11T15:46:06.734000+00:00
u7j0h1gjs0hiS4RZ,25,421,True,2020-11-11T15:46:07.152000+00:00
u7j0h1gjs0hiS4RZ,25,421,True,2020-11-11T15:46:07.632000+00:00
u7j0h1gjs0hiS4RZ,25,421,True,2020-11-11T15:46:07.987000+00:00
u7j0h1gjs0hiS4RZ,25,421,True,2020-11-11T15:46:08.345000+00:00
u7j0h1gjs0hiS4RZ,25,422,True,2020-11-11T15:46:13.986000+00:00
u7j0h1gjs0hiS4RZ,25,422,True,2020-11-11T15:46:14.345000+00:00
u7j0h1gjs0hiS4RZ,25,422,True,2020-11-11T15:46:14.643000+00:00
u7j0h1gjs0hiS4RZ,25,422,True,2020-11-11T15:46:14.978000+00:00
u7j0h1gjs0hiS4RZ,25,422,True,2020-11-11T15:46:15.210000+00:00
